time,Alkalinity to pH 4.5 as CaCO3,Ammonia un-ionised as N,Nitrite as N,"Nitrogen, Total Oxidised as N","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",pH
2000-01-09T11:20:00,139.0,0.002,0.112,6.35,1.31,17.9,146.0,7.5
2000-01-16T14:59:00,40.0,0.001,0.04,1.84,0.089,8.7,82.6,7.2
2000-03-05T10:45:00,87.8,0.002,0.084,5.1,1.37,11.3,95.0,7.5
2000-05-01T12:15:00,107.0,0.005,0.121,6.9,1.76,9.5,93.0,7.7
2000-05-06T15:30:00,122.0,0.012,0.128,7.22,2.66,8.4,94.7,8.3
2000-05-21T10:55:00,112.0,0.002,0.195,11.6,3.7,8.3,80.0,7.4
2000-06-25T10:24:00,117.0,0.003,0.202,10.2,2.97,6.7,65.0,7.6
2000-07-23T15:40:00,142.0,0.004,0.182,17.2,6.02,,84.5,7.9
2000-07-30T09:30:00,105.0,0.005,0.347,7.51,3.24,8.9,85.6,7.8
2000-10-24T14:45:00,93.0,0.004,0.111,5.41,1.62,7.51,71.2,7.7
2000-12-20T14:30:00,103.0,0.0032,0.102,4.72,0.823,,,7.6
2000-12-22T11:00:00,123.0,0.0034,0.106,4.66,1.09,10.3,87.3,7.6
2000-12-27T12:04:00,101.0,0.0037,0.103,5.51,1.14,10.3,83.7,7.7
2001-02-09T12:35:00,71.0,0.0018,0.058,3.1,0.42,12.1,98.6,7.45
2001-03-12T16:45:00,64.0,0.0026,0.0878,3.88,0.916,10.8,91.0,7.6
2001-05-02T15:11:00,90.0,0.0017,0.113,5.63,1.52,9.72,85.9,7.33
2001-07-08T15:45:00,126.0,0.0021,0.2,9.91,5.99,6.54,71.0,7.4
2001-10-12T11:17:00,102.0,0.0019,0.106,11.4,2.86,8.22,82.9,7.54
2001-10-21T12:50:00,90.0,0.0016,0.1,8.81,2.88,8.27,81.6,7.44
2001-11-02T09:40:00,96.0,0.0013,0.1,8.17,1.97,8.69,79.0,7.4
2001-11-08T09:34:00,92.0,0.0026,0.204,7.1,2.27,8.35,75.0,7.25
2001-11-14T10:40:00,91.0,0.0043,0.203,14.6,3.13,9.78,85.2,7.62
2001-11-30T10:12:00,96.0,0.0023,0.197,10.3,2.69,8.7,81.0,7.4
2001-12-11T13:57:00,106.0,0.0074,0.154,11.0,2.94,,,7.8
2001-12-15T13:30:00,140.0,0.0027,0.183,11.5,3.74,10.7,90.0,7.3
2001-12-27T13:05:00,100.0,0.0048,0.163,14.9,3.18,11.1,90.7,7.73
2002-01-28T12:10:00,66.0,0.0027,0.0677,4.16,1.1,10.8,94.0,7.8
2002-02-22T14:40:00,98.0,0.0023,0.0861,6.76,1.43,10.7,90.7,7.65
2002-03-22T14:05:00,58.2,0.0025,0.0902,7.45,0.205,7.55,69.87,7.48
2002-05-02T15:50:00,52.2,0.0049,0.0821,6.33,0.248,10.1,95.4,7.7
2002-06-07T14:05:00,53.1,0.0022,0.0737,9.06,0.239,8.72,89.0,7.42
2002-07-17T13:50:00,123.0,0.0033,0.247,17.8,0.93,6.93,76.2,7.46
2002-08-07T15:40:00,110.0,0.003,0.191,15.4,0.621,7.45,84.6,7.37
2002-10-18T15:10:00,114.0,0.0101,0.347,14.6,0.563,8.34,78.1,7.51
2002-10-29T14:40:00,112.0,0.0161,0.339,15.3,0.78,9.27,82.6,7.91
2002-11-13T12:25:00,81.0,0.00779,0.132,4.29,0.532,9.12,83.4,7.71
2002-11-26T15:45:00,55.0,0.00226,0.0395,1.37,0.05,11.1,94.3,7.87
2002-12-10T14:15:00,78.0,0.00089,0.0751,8.2,0.131,10.1,81.4,7.1
2003-01-03T11:50:00,68.0,0.00223,0.0664,3.16,0.13,10.5,89.9,7.6
2003-03-03T14:40:00,71.0,0.00159,0.113,9.94,0.117,10.4,87.2,7.1
2003-03-18T15:05:00,107.0,0.00286,0.134,10.3,0.385,9.81,92.9,7.39
2003-04-17T12:58:00,67.0,0.0113,0.145,18.9,0.16,10.6,107.0,7.95
2003-04-25T14:15:00,58.0,0.00049,0.0649,2.57,0.09,10.4,99.5,7.0
2003-05-20T14:04:00,57.0,0.0232,0.168,14.1,0.167,8.06,78.3,8.01
2003-07-29T13:00:00,83.0,0.009,0.74,18.3,0.236,6.52,69.0,7.6
2003-08-15T12:35:00,106.0,0.00379,0.994,22.2,0.545,5.71,63.0,7.5
2003-09-05T13:15:00,114.0,0.00433,0.974,24.1,0.504,6.95,74.1,7.2
2003-10-10T13:40:00,93.0,0.0168,0.546,32.8,0.269,6.91,71.7,7.5
2003-10-31T12:10:00,80.0,0.00506,0.315,13.0,0.173,9.33,86.6,7.0
2003-11-21T12:00:00,126.0,0.019,0.528,22.9,0.882,7.84,74.7,7.3
2004-01-27T11:04:00,,0.00114,0.162,11.6,1.52,10.7,88.6,7.0
2004-02-26T11:55:00,,0.00066,0.105,17.4,0.397,10.7,86.8,6.89
2004-03-19T12:05:00,,0.00195,0.132,18.9,1.2,10.0,89.4,7.41
2004-04-01T10:50:00,,0.00144,0.16,21.3,1.43,9.28,85.5,7.15
2004-04-29T11:25:00,,0.00093,0.0313,12.6,0.559,9.12,85.8,7.49
2004-06-04T12:05:00,,0.00304,0.112,18.9,0.987,8.3,87.0,7.43
2004-08-05T11:05:00,,0.00093,0.192,21.3,0.322,5.05,56.0,7.26
2004-08-20T12:40:00,,0.00124,0.131,12.4,0.141,7.75,82.8,7.51
2004-09-03T10:30:00,,0.00075,0.205,16.9,0.152,6.86,71.0,7.27
2004-10-22T10:35:00,,0.00085,0.0467,11.3,0.218,9.44,88.3,7.51
2004-11-19T12:35:00,,0.00523,0.109,17.3,0.227,8.24,72.6,7.39
2004-12-07T12:25:00,,0.00132,0.0835,20.9,0.384,11.5,101.1,7.49
2005-01-25T11:30:00,,0.00092,0.0573,19.1,0.559,11.0,89.4,7.46
2005-02-18T10:15:00,,0.00224,0.0454,13.7,0.276,12.1,100.6,8.01
2005-03-24T12:35:00,,0.0007,0.0609,21.2,0.283,9.68,91.3,7.28
2005-04-18T11:20:00,,0.00161,0.103,19.9,1.3,9.14,85.5,7.5
2005-05-26T12:40:00,,0.00145,0.103,26.6,0.192,8.68,91.4,7.41
2005-06-29T12:20:00,,0.00247,0.321,18.5,0.297,6.53,70.8,7.21
2005-07-20T11:55:00,,0.00248,0.433,29.9,0.225,7.28,76.2,7.72
2005-08-17T14:10:00,,0.00121,0.226,23.7,0.797,7.56,83.4,7.47
2005-09-07T12:18:00,,0.00066,0.172,19.9,0.342,6.87,74.9,7.26
2005-10-14T11:10:00,,0.00133,0.15,15.1,0.118,8.44,83.9,7.37
2005-11-21T14:00:00,,0.0009,0.0657,19.2,0.194,10.9,91.0,7.48
2005-12-01T10:50:00,,0.00088,0.0832,15.2,0.347,10.5,88.5,7.45
2006-02-09T13:40:00,,0.00092,0.0627,22.7,0.274,10.8,89.4,7.59
2006-02-23T14:10:00,,0.00266,0.0701,16.0,0.148,12.7,101.8,7.61
2006-03-09T14:15:00,,0.00109,0.0683,12.9,0.081,11.3,97.9,7.58
2006-04-24T11:25:00,,0.00265,0.209,19.7,0.394,10.8,101.9,7.44
2006-05-18T14:49:00,,0.00143,0.0833,19.2,0.104,8.53,87.5,7.49
2006-06-21T14:15:00,,0.00107,0.0949,30.2,0.137,8.25,87.1,7.56
2006-07-27T13:25:00,,0.00193,0.0785,23.8,0.499,7.09,82.8,7.6
2006-09-01T13:33:00,,0.00199,0.0812,4.15,0.242,8.53,91.4,7.48
2006-09-20T12:40:00,,0.00098,0.0525,23.2,0.626,9.02,96.1,7.72
2006-10-26T11:15:00,,0.00092,0.0335,10.7,0.64,10.8,108.4,7.66
2006-11-09T12:10:00,,0.00125,0.0478,21.2,1.71,,,7.83
2006-12-05T12:15:00,,0.001,0.0321,7.2,0.596,9.93,90.0,7.73
2007-01-29T12:37:00,102.0,0.0007,0.0339,11.8,0.242,11.5,99.1,7.65
2007-02-05T10:55:00,94.0,0.00113,0.0449,14.6,0.264,10.5,89.3,7.73
2007-03-02T13:00:00,84.0,0.00072,0.0225,4.53,0.104,12.0,102.7,7.62
2007-04-04T12:35:00,92.0,0.00096,0.0429,16.5,0.598,12.0,107.7,7.82
2007-04-16T11:50:00,101.0,0.00166,0.0936,21.5,1.25,9.13,99.7,7.44
2007-05-04T12:33:00,72.0,0.00128,0.0661,29.8,1.11,9.52,93.8,7.61
2007-06-01T11:00:00,81.0,0.00077,0.043,12.4,0.319,9.22,94.3,7.61
2007-07-27T11:30:00,82.0,0.00197,0.0507,7.24,0.253,,,7.61
2007-08-24T11:35:00,84.0,0.00437,0.347,12.2,0.386,6.5,67.2,7.57
2007-10-19T10:45:00,86.0,0.00176,0.0642,14.4,0.448,9.84,90.6,7.79
2007-10-30T13:10:00,96.0,0.00053,0.045,21.4,0.798,9.37,88.7,7.57
2007-11-16T10:20:00,87.0,0.00109,0.0704,17.0,0.614,11.8,98.1,7.73
2007-12-14T11:25:00,90.0,0.00091,0.0463,13.3,0.424,11.1,91.4,7.73
2008-01-25T11:35:00,104.0,0.00089,0.0319,8.86,0.305,11.1,94.5,7.82
2008-02-22T09:40:00,80.0,0.00097,0.0361,11.0,0.27,11.4,96.8,7.81
2008-03-14T11:15:00,86.0,0.00092,0.0458,13.7,0.433,11.0,96.5,7.75
2008-04-18T12:00:00,81.0,0.00107,0.0418,15.7,0.413,10.9,97.3,7.82
2008-05-16T10:15:00,80.0,0.00134,0.0847,15.0,0.649,8.59,84.4,7.56
2008-06-13T10:55:00,84.0,0.00087,0.057,11.4,0.226,8.89,92.4,7.53
2008-07-07T10:55:00,80.0,0.0008,0.0327,8.87,0.139,8.6,91.0,7.54
2008-08-08T10:15:00,83.0,0.0007,0.0708,16.8,0.237,7.79,82.4,7.51
2008-09-12T11:05:00,88.0,0.00107,0.0582,15.1,0.167,8.62,87.2,7.76
2008-10-29T13:15:00,81.0,0.0102,0.134,22.1,0.139,9.68,86.9,8.02
2008-11-06T10:30:00,80.0,0.00058,0.0587,15.8,0.126,9.69,88.1,7.5
2008-12-05T11:10:00,75.0,0.00167,0.115,15.7,0.123,10.1,83.7,7.55
2008-12-05T11:15:00,,,,,,,83.4,7.54
2009-01-23T11:25:00,55.0,0.00091,0.0551,4.96,0.042,12.4,99.2,7.55
2009-02-20T11:50:00,82.0,0.00061,0.0562,8.11,0.042,11.2,95.0,7.45
2009-03-20T12:10:00,84.0,0.00299,0.0918,15.7,0.111,11.7,106.2,7.76
2009-04-16T09:45:00,70.0,0.00058,0.0635,12.4,0.344,8.71,83.9,7.35
2009-05-12T12:45:00,90.0,0.00121,0.17,25.8,2.21,8.35,80.6,7.42
2009-06-25T11:20:00,75.0,0.0014,0.176,24.2,0.61,7.98,84.2,7.43
2009-07-16T10:50:00,71.0,0.00192,0.199,21.3,0.436,7.53,79.2,7.6
2009-08-12T11:25:00,85.0,0.0009,0.0717,16.7,0.435,7.64,82.6,7.57
2009-09-18T11:00:00,89.0,0.00267,0.0933,12.3,1.07,8.25,82.3,7.89
2009-10-15T10:30:00,74.0,0.00206,0.196,16.7,0.723,8.57,82.3,7.56
2009-11-12T11:20:00,80.0,0.0025,0.286,19.2,1.61,8.69,79.6,7.47
2009-12-11T12:55:00,86.0,0.0008,0.0565,9.2,0.255,10.2,87.3,7.53
2010-01-27T11:05:00,82.0,0.0014,0.0828,8.86,0.15,11.6,91.2,7.59
2010-02-18T11:36:00,47.0,0.00089,0.0149,1.27,0.025,11.6,91.4,7.7
2010-03-19T10:25:00,87.0,0.00191,0.11,10.2,0.142,10.7,95.5,7.73
2010-04-23T10:20:00,,0.00224,0.0992,,,9.72,90.0,7.8
2010-05-20T11:36:00,,0.00423,0.216,22.5,,8.46,85.0,7.69
2010-06-18T10:00:00,,0.00113,0.134,18.3,,7.33,74.5,7.51
2010-07-12T12:00:00,,0.00084,0.257,19.7,,6.13,66.7,7.22
2010-08-12T10:25:00,,0.00059,0.079,18.9,,7.19,75.3,7.49
2010-09-16T13:45:00,,0.00125,0.0769,23.4,,8.66,88.9,7.65
2010-10-15T10:00:00,,0.00082,0.071,15.6,,8.95,85.3,7.54
2010-11-09T10:59:00,,0.00376,0.108,14.7,,8.75,78.2,7.76
2010-12-10T10:59:00,,0.00203,0.194,20.7,,12.0,96.2,7.66
2011-01-21T11:03:00,,0.00088,0.0563,8.89,,10.0,82.0,7.58
2011-02-16T10:55:00,,0.00186,0.0665,13.6,,9.78,83.9,7.8
2011-03-15T10:44:00,,0.00109,0.0989,18.3,,10.7,96.4,7.5
2011-04-20T10:50:00,,0.00235,0.127,20.1,,8.31,83.2,7.47
2011-05-16T10:50:00,,0.00213,0.0873,24.2,,8.85,87.0,7.85
2011-06-15T13:35:00,,0.00224,0.131,24.3,,7.76,82.0,7.67
2011-07-22T12:55:00,,0.00128,0.0696,22.9,,7.58,79.6,7.73
2011-08-19T10:25:00,,0.00867,0.171,14.9,,7.47,74.9,7.56
2011-09-16T13:45:00,,0.00157,0.138,33.1,,7.47,77.6,7.56
2011-10-10T12:55:00,,0.00135,0.0743,27.5,,7.6,78.5,7.69
2011-11-09T10:50:00,,0.00069,0.037,18.3,,9.55,91.0,7.48
2011-12-12T12:05:00,,0.00267,0.16,20.2,,9.67,82.8,7.5
2012-01-18T11:35:00,,0.00179,0.127,24.5,,11.2,93.7,7.57
2012-02-16T10:12:00,,0.00131,0.0943,17.0,,12.1,98.9,7.69
2012-03-15T10:28:00,,0.00102,0.0903,20.6,,11.1,96.8,7.51
2012-04-13T08:45:00,,0.00118,0.122,14.6,,8.99,78.7,7.49
2012-05-10T12:14:00,,0.00387,0.138,13.4,,7.76,75.7,7.62
2012-05-28T11:59:00,,0.00207,0.103,25.6,,6.68,73.8,7.6
2012-07-02T09:20:00,,,,,,6.31,64.4,7.76
2012-07-31T08:20:00,,0.00104,0.073,17.8,,6.41,65.8,7.55
2012-08-22T09:46:00,,0.0027,0.067,20.4,,6.13,65.2,7.95
2012-09-25T09:04:00,,0.00083,0.0241,6.87,,8.04,76.3,7.63
2012-10-29T13:09:00,,0.00097,0.0275,19.3,,8.39,77.7,7.75
2012-11-20T11:01:00,,0.00054,0.0238,17.4,,10.1,92.3,7.47
2012-12-17T11:44:00,,0.00101,,,,,,7.79
2013-01-08T11:05:00,112.0,0.00187,0.0225,8.35,0.144,8.62,75.1,7.96
2013-01-30T12:00:00,74.0,0.00573,0.0383,5.78,0.15,9.98,84.2,7.79
2013-02-26T12:27:00,98.0,0.00241,0.0787,16.0,0.197,10.6,85.1,7.8
2013-03-15T09:21:00,,,,,,,,
2013-04-05T08:46:00,93.0,0.0011,0.0323,9.66,0.232,10.9,84.5,7.9
2013-04-15T09:25:00,73.0,0.00082,0.0222,6.91,0.208,10.1,89.5,7.94
2013-05-28T14:21:00,111.0,0.00352,0.0905,19.2,1.04,7.84,75.1,7.7
2013-07-01T08:53:00,98.0,0.00299,0.108,18.3,1.25,6.67,69.1,7.89
2013-08-15T10:59:00,97.0,0.00274,0.213,23.2,0.358,6.07,64.2,7.7
2013-09-11T12:17:00,79.0,0.00068,0.0372,19.7,0.266,7.38,73.1,7.64
2013-10-01T12:25:00,77.0,0.00048,0.0604,26.2,0.249,7.66,77.3,7.3
2013-11-01T08:11:00,79.0,0.00103,0.0369,9.33,0.101,7.87,74.4,7.69
2013-11-20T10:55:00,71.0,0.0019,0.0665,18.0,0.095,9.3,78.8,7.85
2014-01-06T11:50:00,66.0,0.00171,0.0329,2.91,0.078,10.2,86.1,7.48
2014-02-04T13:35:00,87.0,0.00333,0.0404,3.65,0.114,10.1,82.8,7.58
2014-03-12T12:54:00,110.0,0.00195,0.0482,8.92,0.065,9.59,84.5,7.69
2014-04-01T10:42:00,96.0,0.00455,0.0883,12.3,0.082,8.82,81.1,7.69
2014-05-01T12:33:00,75.0,0.00157,0.0489,12.6,0.187,8.68,84.1,7.55
2014-06-02T09:54:00,76.0,0.00304,0.0607,11.4,0.47,7.37,76.3,7.82
2014-07-11T09:07:00,87.0,0.00205,0.253,19.4,0.724,6.32,65.4,7.53
2014-08-01T09:14:00,92.0,0.00152,0.116,19.1,0.744,5.11,55.6,7.58
2014-09-11T13:16:00,85.0,0.0017,0.0883,26.4,0.323,6.49,65.4,7.85
2014-09-24T11:10:00,,,,,,,,
2014-10-01T10:38:00,73.0,0.00261,0.1,18.5,0.188,7.25,75.4,7.78
2014-10-15T09:26:00,,,,,,,,
2014-11-04T10:40:00,75.0,0.00083,0.0513,12.0,0.181,7.6,70.7,7.47
2014-11-28T09:54:00,83.0,0.0015,0.0275,5.57,0.112,9.13,81.8,7.81
2015-01-06T10:32:00,73.0,0.00074,0.0434,9.51,0.107,10.7,90.4,7.54
2015-02-02T10:55:00,80.0,0.00229,0.0792,12.5,0.088,11.0,86.5,7.68
2015-03-02T10:36:00,91.0,0.00308,0.0804,10.6,0.211,10.1,83.9,7.67
2015-04-01T08:46:00,84.0,0.00228,0.0495,9.49,0.317,8.86,75.1,7.94
2015-05-01T10:23:00,64.0,0.00152,0.0915,19.7,0.159,9.0,83.1,7.49
2015-06-02T14:42:00,111.0,0.00144,0.101,23.1,1.41,6.1,59.9,7.5
2015-07-02T09:19:00,113.0,0.00242,0.294,23.2,1.78,3.79,41.7,7.53
2015-08-04T12:35:00,77.0,0.00159,0.155,28.6,0.341,5.68,59.9,7.34
2015-09-03T12:38:00,110.0,0.00101,0.0373,14.8,1.05,8.52,87.5,7.58
2015-10-07T15:03:00,80.0,0.00189,0.0473,13.8,0.165,8.02,80.6,7.75
2015-11-05T08:42:00,91.0,0.00074,0.0664,11.1,0.872,7.27,70.1,7.5
2015-11-25T13:11:00,71.0,0.00155,0.113,15.8,0.63,9.13,81.8,7.51
2016-01-15T09:33:00,88.0,0.0032,0.0563,6.21,0.323,10.7,85.5,8.24
2016-02-09T12:17:00,81.0,0.00084,0.0184,5.35,0.095,11.5,96.7,7.81
2016-03-07T13:10:00,,,0.0811,13.8,,,,
2016-04-08T09:50:00,79.0,0.00456,0.0797,11.5,0.077,9.25,82.3,8.08
2016-05-26T13:11:00,84.0,0.00238,0.106,25.3,0.259,6.56,67.1,7.48
2016-06-15T10:55:00,81.0,0.00651,0.172,17.5,0.213,7.62,79.4,7.72
2016-07-22T11:41:00,,,0.173,22.7,,,,7.98
2016-08-16T11:05:00,117.0,0.00277,0.196,22.4,0.322,6.01,63.3,7.64
2016-09-22T11:18:00,123.0,0.00167,0.155,19.4,0.697,7.34,76.9,7.49
2016-10-20T12:11:00,96.0,0.0017,0.0521,24.8,0.329,7.76,74.3,7.84
2016-11-15T12:15:00,,,0.0455,21.4,,,,
2016-11-18T12:00:00,80.0,0.00171,0.0407,19.9,0.195,8.96,80.3,7.95
2017-01-13T11:05:00,62.0,0.00215,0.0298,10.2,0.094,11.0,87.5,7.83
2017-02-03T11:49:00,,,0.0542,11.2,,,,
2017-03-06T13:38:00,81.0,0.00042,0.0155,11.1,0.092,11.6,100.3,7.79
2017-04-18T15:01:00,95.0,0.00198,0.0456,23.8,0.221,9.81,93.7,7.92
2017-05-04T12:00:00,83.0,0.0016,0.0824,29.8,0.256,8.33,79.1,7.63
2017-06-28T10:55:00,,,0.254,15.4,,,,
2017-08-01T13:00:00,93.0,0.00108,0.0828,19.1,0.384,7.35,78.2,7.46
2017-11-02T15:30:00,,,,,,,,7.65
2018-01-26T13:23:00,,,,,,,,7.73
2018-04-25T11:03:00,,,,,,,,7.88
2018-07-26T14:02:00,,,,,,,,7.63
2018-10-10T10:55:00,,,,,,,,7.67
2019-01-16T12:30:00,,,,,,,,8.1
2019-04-09T12:26:00,83.0,0.00134,0.0659,16.1,0.417,8.92,82.0,7.53
2019-05-07T12:25:00,95.0,0.0004,0.0663,24.5,0.583,8.43,80.4,7.2
2019-06-21T12:13:00,89.0,0.0007,0.0694,17.3,0.393,8.09,83.6,7.24
2019-07-15T10:42:00,120.0,0.00317,0.18,20.0,0.63,6.21,65.6,7.66
2019-08-02T12:18:00,110.0,0.00135,0.11,24.0,0.68,6.9,74.7,7.61
2019-09-09T12:24:00,140.0,0.00132,0.085,26.0,0.81,7.82,79.4,7.73
2019-10-10T13:14:00,76.0,0.00178,0.081,22.0,0.62,9.13,89.4,7.67
2019-11-11T11:14:00,77.0,0.00053,0.0406,11.8,0.318,10.2,90.9,7.56
2019-12-06T11:07:00,98.0,0.00308,0.076,18.0,0.35,9.81,86.9,8.03
2019-12-10T12:01:00,,,,,,,,
2020-01-08T15:04:00,120.0,0.00177,0.045,12.0,0.21,9.8,87.0,7.87
2020-02-04T09:14:00,91.0,0.00094,0.037,7.8,0.22,10.9,90.5,7.75
2020-03-05T11:45:00,99.0,0.00854,0.05,5.6,0.19,10.5,88.6,7.82
2023-05-05T11:33:00,110.0,0.00505,0.19,13.0,0.28,8.24,82.3,7.58
2023-06-07T12:14:00,130.0,0.0021,0.27,26.0,0.62,5.6,56.5,7.34
2023-06-22T12:07:00,120.0,0.00214,0.17,25.0,0.65,5.66,62.0,7.39
2023-07-26T11:58:00,99.0,0.00144,0.3,20.0,0.73,5.21,54.5,7.19
